Owner's username,Repository name,Stars,Repository URL
ZuzooVn,machine-learning-for-software-engineers,26k,https://github.com/ZuzooVn/machine-learning-for-software-engineers
explosion,spaCy,23.8k,https://github.com/explosion/spaCy
AMAI-GmbH,AI-Expert-Roadmap,21k,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
Lightning-AI,lightning,19.4k,https://github.com/Lightning-AI/lightning
facebookresearch,fairseq,18.6k,https://github.com/facebookresearch/fairseq
amark,gun,16.2k,https://github.com/amark/gun
Tencent,ncnn,15k,https://github.com/Tencent/ncnn
kailashahirwar,cheatsheets-ai,14.3k,https://github.com/kailashahirwar/cheatsheets-ai
microsoft,recommenders,13.6k,https://github.com/microsoft/recommenders
OpenBB-finance,OpenBBTerminal,13.5k,https://github.com/OpenBB-finance/OpenBBTerminal
microsoft,AirSim,13.3k,https://github.com/microsoft/AirSim
eclipse,deeplearning4j,12.5k,https://github.com/eclipse/deeplearning4j
ShangtongZhang,reinforcement-learning-an-introduction,11.6k,https://github.com/ShangtongZhang/reinforcement-learning-an-introduction
lucidrains,vit-pytorch,10.8k,https://github.com/lucidrains/vit-pytorch
Ciphey,Ciphey,10.4k,https://github.com/Ciphey/Ciphey
deepmind,sonnet,9.3k,https://github.com/deepmind/sonnet
codota,TabNine,9.3k,https://github.com/codota/TabNine
lexfridman,mit-deep-learning,9.2k,https://github.com/lexfridman/mit-deep-learning
ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,9.1k,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
leon-ai,leon,8.9k,https://github.com/leon-ai/leon
mindsdb,mindsdb,8.8k,https://github.com/mindsdb/mindsdb
olistic,warriorjs,8.8k,https://github.com/olistic/warriorjs
microsoft,computervision-recipes,8.6k,https://github.com/microsoft/computervision-recipes
facebookarchive,caffe2,8.4k,https://github.com/facebookarchive/caffe2
carla-simulator,carla,8k,https://github.com/carla-simulator/carla
OlafenwaMoses,ImageAI,7.1k,https://github.com/OlafenwaMoses/ImageAI
tensorlayer,TensorLayer,7k,https://github.com/tensorlayer/TensorLayer
dair-ai,ml-visuals,6.9k,https://github.com/dair-ai/ml-visuals
owainlewis,awesome-artificial-intelligence,6.9k,https://github.com/owainlewis/awesome-artificial-intelligence
instillai,machine-learning-course,6.8k,https://github.com/instillai/machine-learning-course
