Owner's username,Repository name,Stars,Repository URL
donnemartin,system-design-primer,190k,https://github.com/donnemartin/system-design-primer
tensorflow,tensorflow,167k,https://github.com/tensorflow/tensorflow
CyC2018,CS-Notes,155k,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,140k,https://github.com/TheAlgorithms/Python
vinta,awesome-python,135k,https://github.com/vinta/awesome-python
justjavac,free-programming-books-zh_CN,94.4k,https://github.com/justjavac/free-programming-books-zh_CN
practical-tutorials,project-based-learning,73k,https://github.com/practical-tutorials/project-based-learning
nvbn,thefuck,72.4k,https://github.com/nvbn/thefuck
huggingface,transformers,67.3k,https://github.com/huggingface/transformers
django,django,65.2k,https://github.com/django/django
pallets,flask,59.9k,https://github.com/pallets/flask
pytorch,pytorch,57.5k,https://github.com/pytorch/pytorch
521xueweihan,HelloGitHub,57.4k,https://github.com/521xueweihan/HelloGitHub
keras-team,keras,55.7k,https://github.com/keras-team/keras
home-assistant,core,54.1k,https://github.com/home-assistant/core
ansible,ansible,53.9k,https://github.com/ansible/ansible
scikit-learn,scikit-learn,50.8k,https://github.com/scikit-learn/scikit-learn
azl397985856,leetcode,48.7k,https://github.com/azl397985856/leetcode
psf,requests,47.9k,https://github.com/psf/requests
tiangolo,fastapi,47.5k,https://github.com/tiangolo/fastapi
apache,superset,47.1k,https://github.com/apache/superset
3b1b,manim,45.9k,https://github.com/3b1b/manim
ageitgey,face_recognition,45.2k,https://github.com/ageitgey/face_recognition
scrapy,scrapy,44k,https://github.com/scrapy/scrapy
localstack,localstack,42.2k,https://github.com/localstack/localstack
aymericdamien,TensorFlow-Examples,42.1k,https://github.com/aymericdamien/TensorFlow-Examples
microsoft,ML-For-Beginners,39.8k,https://github.com/microsoft/ML-For-Beginners
Textualize,rich,38.6k,https://github.com/Textualize/rich
Avik-Jain,100-Days-Of-ML-Code,38k,https://github.com/Avik-Jain/100-Days-Of-ML-Code
ryanoasis,nerd-fonts,36.9k,https://github.com/ryanoasis/nerd-fonts
